STATION: KDEN | LAT: 21.8846153846 | LON: -57.5054945055 | ELEV (M): 1655.064 | NET: METAR | DESC: DENVER/DENVER INTER, CO
########################################
DATE TIME (UTC) | EPOCH TIME | TEMP (F) | DEWPOINT (F) | SLP (MB) | WS (MPH) | WD (DEG) | WG (MPH) | VIS (MI) | CEIL (FT) 
2017-09-12 00:14:00 | 1505175240 | 77.0 | 46.4 | 1024.7 | 17 | 190 | 25 | 10.0 | BKN/90 BKN/130 BKN/200
2017-09-12 00:53:00 | 1505177580 | 73.4 | 46.4 | 1024.7 | 17 | 210 | None | 10.0 | SCT/90 BKN/130 BKN/200
2017-09-12 01:53:00 | 1505181180 | 73.4 | 46.4 | 1025.1 | 13 | 210 | None | 10.0 | BKN/90 BKN/130 OVC/200
2017-09-12 02:53:00 | 1505184780 | 69.8 | 51.8 | 1025.1 | 13 | 190 | None | 10.0 | BKN/90 BKN/130 OVC/200
2017-09-12 03:53:00 | 1505188380 | 66.2 | 51.8 | 1024.7 | 10 | 190 | None | 10.0 | SCT/90 SCT/130 BKN/200
2017-09-12 04:53:00 | 1505191980 | 69.8 | 48.2 | 1024.4 | 12 | 210 | None | 10.0 | FEW/130 BKN/200
2017-09-12 05:53:00 | 1505195580 | 62.6 | 51.8 | 1024.4 | 12 | 150 | None | 10.0 | FEW/100 BKN/200
2017-09-12 06:53:00 | 1505199180 | 64.4 | 48.2 | 1023.4 | 13 | 190 | None | 10.0 | SCT/220
2017-09-12 07:53:00 | 1505202780 | 66.2 | 46.4 | 1023.0 | 14 | 220 | None | 10.0 | FEW/220
2017-09-12 08:53:00 | 1505206380 | 64.4 | 46.4 | 1022.7 | 12 | 220 | None | 10.0 | FEW/220
2017-09-12 09:53:00 | 1505209980 | 62.6 | 46.4 | 1022.4 | 13 | 230 | None | 10.0 | FEW/220
2017-09-12 10:53:00 | 1505213580 | 60.8 | 46.4 | 1022.0 | 10 | 230 | None | 10.0 | FEW/220
2017-09-12 11:53:00 | 1505217180 | 60.8 | 44.6 | 1022.0 | 10 | 240 | None | 10.0 | FEW/220
