STATION, LAT, LON, DATE TIME (UTC), EPOCH TIME, TEMP (F), DEWPOINT (F), SLP (MB), WS (MPH), WD (DEG), WG (MPH) 
########################################
CYED, 29.489010989, -62.3461538462, 2017-01-06 00:00:00, 1483660800, 10.4, 3.2, 1016.9, 30, 8, None
CYQW, 28.9945054945, -59.478021978, 2017-01-06 00:00:00, 1483660800, 5.0, 1.4, 1017.6, 350, 7, None
CYZH, 30.3846153846, -63.0659340659, 2017-01-06 00:00:00, 1483660800, 12.2, 8.6, 1019.7, 120, 6, None
LKPR, 27.5274725275, 7.82967032967, 2017-01-06 00:00:00, 1483660800, 15.8, 12.2, 1032.0, 340, 15, None
LKTB, 27.0054945055, 9.17582417582, 2017-01-06 00:00:00, 1483660800, 19.4, 10.4, 1029.0, 330, 15, None
CYOD, 29.8956043956, -60.5934065934, 2017-01-06 00:00:00, 1483660800, 8.6, 5.0, 1019.0, 40, 3, None
CYEK, 33.5714285714, -51.6868131868, 2017-01-06 00:00:00, 1483660800, -7.6, -13.0, 1010.2, 320, 15, None
CYSM, 32.9835164835, -61.5, 2017-01-06 00:00:00, 1483660800, -7.6, -13.0, 1025.1, 230, 5, None
CYTH, 30.6593406593, -53.7747252747, 2017-01-06 00:00:00, 1483660800, 5.0, -0.4, 1012.2, 310, 7, None
KBMQ, 16.8901098901, -53.9725274725, 2017-01-06 00:00:00, 1483660800, 39.0, 30.0, 1015.9, 20, 15, 25
KESF, 17.2527472527, -50.7142857143, 2017-01-06 00:00:00, 1483660800, 44.1, 43.0, 1014.9, None, 7, None
KLHX, 20.9065934066, -56.8791208791, 2017-01-06 00:00:00, 1483660800, 8.1, 3.0, 1018.6, 320, 5, None
KMLU, 17.8681318681, -50.5659340659, 2017-01-06 00:00:00, 1483660800, 37.9, 35.1, 1017.3, 20, 11, None
PFYU, 36.5769230769, -79.521978022, 2017-01-06 00:00:00, 1483660800, 8.6, 5.0, 1034.6, 270, 14, None
PKWA, 4.7967032967, -92.1593406593, 2017-01-06 00:00:00, 1483660800, 87.3, 76.8, 1006.8, 80, 17, 23
KMBG, 25.0274725275, -55.1703296703, 2017-01-06 00:00:00, 1483660800, -2.9, -11.9, 1019.0, 260, 5, None
SCFA, -12.8736263736, -38.6978021978, 2017-01-06 00:00:00, 1483660800, 71.6, 60.8, 1011.0, 180, 8, None
SCAR, -10.0714285714, -38.6428571429, 2017-01-06 00:00:00, 1483660800, 73.4, 64.4, 1012.0, 190, 6, None
SCEL, -18.3406593407, -38.8901098901, 2017-01-06 00:00:00, 1483660800, 78.8, 42.8, 1011.0, 150, 15, None
SCIE, -20.2032967033, -40.1373626374, 2017-01-06 00:00:00, 1483660800, 64.4, 51.8, 1011.0, 230, 16, None
SCCI, -29.1208791209, -38.9285714286, 2017-01-06 00:00:00, 1483660800, 50.0, 44.6, 985.0, 320, 10, None
LHBP, 26.0604395604, 10.5879120879, 2017-01-06 00:00:00, 1483660800, 19.4, 6.8, 1023.0, 340, 10, None
WSAP, 0.752747252747, 57.0989010989, 2017-01-06 00:00:00, 1483660800, 80.6, 78.8, 1008.0, 0, 0, None
GMAD, 16.6648351648, -5.16483516484, 2017-01-06 00:00:00, 1483660800, 50.0, 33.8, 1021.0, 100, 6, None
GMFF, 18.6428571429, -2.73626373626, 2017-01-06 00:00:00, 1483660800, 39.2, 30.2, 1023.0, 190, 8, None
GMMN, 18.3351648352, -4.16483516484, 2017-01-06 00:00:00, 1483660800, 44.6, 44.6, 1023.0, 60, 7, None
