    254     12     19      MAY    2020
      1  92803  72202  25.75N 80.38W     4   1103
      2    100   2010   1210    142  99999      3
      3           MFL                   11     kt
      9  10120      4    228    221    160      4
      4  10000    111    250    212    180      9
      5   9990    120    250    211  99999  99999
      6   9780    304  99999  99999    190     20
      5   9540    520    238    188  99999  99999
      6   9445    609  99999  99999    210     24
      4   9250    794    214    189    220     24
      5   9130    906    208    183  99999  99999
      6   9121    914  99999  99999    225     24
      5   8900   1126    200    150  99999  99999
      6   8803   1219  99999  99999    230     23
      5   8730   1290    186    156  99999  99999
      5   8650   1368    186    126  99999  99999
      4   8500   1524    172    132    230     25
      6   8198   1828  99999  99999    225     26
      6   7907   2133  99999  99999    220     27
      5   7830   2215    128     84  99999  99999
      5   7670   2387    118     48  99999  99999
      6   7623   2438  99999  99999    225     25
      5   7610   2452    110     77  99999  99999
      5   7440   2639    100     72  99999  99999
      6   7349   2743  99999  99999    225     27
      4   7000   3155     74     -6    235     29
      5   6790   3404     56    -14  99999  99999
      6   6581   3657  99999  99999    260     27
      5   6220   4115     36    -84  99999  99999
      6   6103   4267  99999  99999    275     34
      6   5874   4572  99999  99999    285     35
      6   5654   4876  99999  99999    290     34
      5   5500   5096    -35   -215  99999  99999
      5   5110   5670    -83   -253  99999  99999
      6   5036   5791  99999  99999    295     26
      4   5000   5850    -95   -205    285     24
      6   4842   6096  99999  99999    265     22
      5   4690   6339   -133   -183  99999  99999
      6   4652   6400  99999  99999    245     24
      5   4560   6552   -143   -193  99999  99999
      5   4460   6719   -151   -281  99999  99999
      5   4410   6804   -153   -253  99999  99999
      5   4390   6838   -153   -195  99999  99999
      5   4360   6890   -157   -217  99999  99999
      5   4350   6907   -155   -265  99999  99999
      6   4291   7010  99999  99999    255     34
      5   4290   7011   -161   -321  99999  99999
      5   4260   7064   -165   -215  99999  99999
      5   4250   7082   -169   -212  99999  99999
      5   4150   7260   -183   -233  99999  99999
      5   4060   7423   -197   -227  99999  99999
      5   4020   7496   -201   -261  99999  99999
      4   4000   7540   -199   -269    250     39
      5   3980   7577   -199   -289  99999  99999
      6   3957   7620  99999  99999    245     39
      5   3770   7976   -229   -409  99999  99999
      5   3670   8171   -247   -307  99999  99999
      6   3641   8229  99999  99999    240     43
      5   3540   8431   -271   -381  99999  99999
      5   3460   8595   -287   -347  99999  99999
      5   3260   9019   -295   -335  99999  99999
      6   3203   9144  99999  99999    240     46
      6   3069   9448  99999  99999    240     44
      4   3000   9610   -345   -372    240     44
      5   2880   9893   -369   -399  99999  99999
      5   2720  10286   -385   -475  99999  99999
      6   2572  10668  99999  99999    250     68
      4   2500  10860   -433   -513    250     74
      6   2458  10972  99999  99999    245     78
      6   2040  12192  99999  99999    245     85
      5   2020  12257   -543   -593  99999  99999
      8   2010  12293  99999  99999    245     85
      4   2000  12330   -549   -609    245     85
      5   1890  12688   -577   -717  99999  99999
      6   1683  13411  99999  99999    260     77
      5   1580  13806   -611   -771  99999  99999
      5   1520  14046   -611   -681  99999  99999
      4   1500  14130   -615   -685    260     57
      6   1453  14326  99999  99999    265     53
      5   1360  14732   -637   -817  99999  99999
      6   1315  14935  99999  99999    245     33
      6   1251  15240  99999  99999    245     36
      7   1210  15439   -683   -823    245     41
      6   1190  15544  99999  99999    245     49
      6   1077  16154  99999  99999    275     37
      5   1010  16542   -659   -819  99999  99999
      4   1000  16590   -663   -823    275      8
      6    971  16764  99999  99999    270      5
      6    877  17373  99999  99999    245     11
      5    855  17527   -704   -844  99999  99999
      6    833  17678  99999  99999    265      7
      6    752  18288  99999  99999    350      3
      6    714  18592  99999  99999    115      5
      5    705  18667   -711   -851  99999  99999
      4    700  18720   -709   -849     90      6
      6    679  18897  99999  99999     80      8
      5    654  19120   -725   -855  99999  99999
      6    645  19202  99999  99999     20      2
      6    613  19507  99999  99999     10     11
      6    583  19812  99999  99999     70     21
      4    500  20730   -641   -841    105      6
      6    476  21031  99999  99999    185      4
      5    471  21096   -623   -853  99999  99999
      6    453  21336  99999  99999     95      5
      5    400  22099   -635   -855  99999  99999
      6    390  22250  99999  99999     80      4
